
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B0:93:5B:61:B5:80, 2018-04-19 23:07:20, 2018-04-19 23:14:06, 11,  54, WPA2, CCMP,PSK, -57,       20,       16,   0.  0.  0.  0,  10, ATTxYKIaBA, 
10:86:8C:AA:C3:D0, 2018-04-19 23:06:57, 2018-04-19 23:14:06, 11,  54, WPA2, CCMP,PSK, -64,       52,        4,   0.  0.  0.  0,  14, BHNTG1682GC3D2, 
38:3B:C8:F2:3F:3E, 2018-04-19 23:06:55, 2018-04-19 23:14:04,  4,  54, WPA2, CCMP,PSK, -67,        6,        5,   0.  0.  0.  0,  10, ATT9Gz7bCd, 
C0:C1:C0:B8:69:EC, 2018-04-19 23:06:51, 2018-04-19 23:13:51,  1,  54, WPA2, CCMP,PSK, -26,       88,      560,   0.  0.  0.  0,  14, orangeelephant, 
F8:18:97:16:EA:9A, 2018-04-19 23:12:23, 2018-04-19 23:13:50,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -69,        2,        0,   0.  0.  0.  0,  10, ATT2Dhb2bF, 
F8:18:97:F5:AA:5A, 2018-04-19 23:07:31, 2018-04-19 23:14:28,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -70,        7,        1,   0.  0.  0.  0,  10, ATT6KBH4fp, 
D4:05:98:0A:57:B0, 2018-04-19 23:06:57, 2018-04-19 23:13:17,  6,  54, WPA2, CCMP,PSK, -72,        9,        0,   0.  0.  0.  0,  14, BHNTG1672G57B2, 
1C:1B:68:0D:F3:50, 2018-04-19 23:07:04, 2018-04-19 23:13:01, 11,  54, WPA2, CCMP,PSK, -74,        4,        0,   0.  0.  0.  0,  10, ATT3b7XYs2, 
FC:51:A4:1F:13:C0, 2018-04-19 23:07:59, 2018-04-19 23:12:38,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -68,       11,        0,   0.  0.  0.  0,  12, Terri's Wifi, 
8C:09:F4:04:60:20, 2018-04-19 23:07:19, 2018-04-19 23:12:38, 11,  54, WPA2, CCMP,PSK, -70,        6,        0,   0.  0.  0.  0,   4, Jibu, 
14:ED:BB:38:EF:D6, 2018-04-19 23:07:08, 2018-04-19 23:12:42,  8,  54, WPA2, CCMP,PSK, -72,       17,        9,   0.  0.  0.  0,  10, ATT7gyU2z7, 
E0:22:04:35:F2:F2, 2018-04-19 23:07:04, 2018-04-19 23:12:40,  7,  54, WPA2, CCMP,PSK, -72,        1,        3,   0.  0.  0.  0,  10, ATT3eWu6DM, 
FA:8F:CA:37:89:5A, 2018-04-19 23:07:05, 2018-04-19 23:12:39,  6,  54, OPN, ,   , -73,       19,        0,   0.  0.  0.  0,   0, , 
CC:0D:EC:46:1F:8A, 2018-04-19 23:12:08, 2018-04-19 23:12:40,  1,  54, WPA2, CCMP TKIP,PSK, -74,        3,        0,   0.  0.  0.  0,   9, \x00\x00\x00\x00\x00\x00\x00\x00\x00, 
00:25:00:FF:94:73, 2018-04-19 23:12:18, 2018-04-19 23:12:18, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:7F:A4:3C:B3:8A, 2018-04-19 23:07:04, 2018-04-19 23:11:51,  5,  54, WPA2, CCMP,PSK, -74,        6,        1,   0.  0.  0.  0,  10, ATT6SzX4r9, 
70:3A:CB:72:8D:F1, 2018-04-19 23:07:20, 2018-04-19 23:11:37,  6,  54, WPA2, CCMP,PSK, -71,        3,        3,   0.  0.  0.  0,  10, Sabir Home, 
58:19:F8:BD:00:60, 2018-04-19 23:07:36, 2018-04-19 23:09:30,  1,  54, WPA2, CCMP,PSK, -70,        2,        2,   0.  0.  0.  0,  10, ATTzctfVGs, 
F8:18:97:D2:FF:96, 2018-04-19 23:08:45, 2018-04-19 23:08:45,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -72,        1,        0,   0.  0.  0.  0,  10, ATT4gk4h64, 
DC:7F:A4:9E:9E:CE, 2018-04-19 23:07:41, 2018-04-19 23:09:58, 10,  54, WPA2, CCMP,PSK, -74,        1,        1,   0.  0.  0.  0,  10, ATT4A3SsI5, 
50:6A:03:AA:CA:4E, 2018-04-19 23:07:07, 2018-04-19 23:10:24,  7,  54, WPA2, CCMP,PSK, -72,        1,        2,   0.  0.  0.  0,  13, NETGEARBALLZ1, 
F8:35:DD:24:4C:15, 2018-04-19 23:10:46, 2018-04-19 23:10:46,  1,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  14, MOTOROLA-1410F, 
B0:93:5B:56:FC:90, 2018-04-19 23:07:12, 2018-04-19 23:11:23, 11,  54, WPA2, CCMP,PSK, -69,        7,        3,   0.  0.  0.  0,  10, ATTVT5R8BA, 
D4:B2:7A:F4:1E:EE, 2018-04-19 23:12:09, 2018-04-19 23:12:09,  7,  -1, WPA, ,   , -74,        0,        1,   0.  0.  0.  0,   0, , 
EC:8E:B5:1E:F3:04, 2018-04-19 23:08:30, 2018-04-19 23:12:23,  1,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,  29, DIRECT-03-HP ENVY 5540 series, 
58:EF:68:AC:9D:F7, 2018-04-19 23:09:56, 2018-04-19 23:12:43,  3,  54, WPA2, CCMP TKIP,PSK, -62,        2,        1,   0.  0.  0.  0,  23, Elon Musk's Winter Home, 
EC:8E:B5:1F:DC:0C, 2018-04-19 23:13:00, 2018-04-19 23:13:00,  5,  54, WPA2, CCMP,PSK, -70,        0,        0,   0.  0.  0.  0,  29, DIRECT-0B-HP ENVY 5660 series, 
